population_group,measure,location,sex,age,metric,year,val,upper,lower
All Population,Life table,Malaysia,Male,15-19 years,Probability of death,2023,0.0033852844575728985,0.004167674179451156,0.0027574454887006744
All Population,Life table,Malaysia,Female,15-19 years,Probability of death,2023,0.0012675782078861665,0.0016130758850312313,0.0009900794294801201
All Population,Life table,Malaysia,Male,20-24 years,Probability of death,2023,0.004485721668424217,0.005330535838392663,0.003719014582162494
All Population,Life table,Malaysia,Female,20-24 years,Probability of death,2023,0.0016514491555201683,0.002075851186335486,0.0012924683326546837
All Population,Life table,Malaysia,Male,25-29 years,Probability of death,2023,0.004373228391346212,0.00520664671978544,0.0036187569196005163
All Population,Life table,Malaysia,Female,25-29 years,Probability of death,2023,0.0021933523375532948,0.002729109685898509,0.001765652564093903
All Population,Life table,Malaysia,Male,30-34 years,Probability of death,2023,0.005729428801647602,0.006721631561836885,0.004860902614535501
All Population,Life table,Malaysia,Female,30-34 years,Probability of death,2023,0.003244374691924342,0.003948505107378472,0.002651510022838316
All Population,Life table,Malaysia,Male,35-39 years,Probability of death,2023,0.008848457640355986,0.010238751533185963,0.007676854866169491
All Population,Life table,Malaysia,Female,35-39 years,Probability of death,2023,0.005072198543114686,0.006024775503279809,0.004169789040818178
All Population,Life table,Malaysia,Male,40-44 years,Probability of death,2023,0.015062995972012787,0.016975344591765393,0.013115162844153061
All Population,Life table,Malaysia,Female,40-44 years,Probability of death,2023,0.008575606857518599,0.010072034420148175,0.00720895934035149
All Population,Life table,Malaysia,Male,45-49 years,Probability of death,2023,0.02484349376821975,0.027798935296014012,0.022033649461380558
All Population,Life table,Malaysia,Female,45-49 years,Probability of death,2023,0.014741093594484191,0.01691998813600398,0.012718945614737454
All Population,Life table,Malaysia,Male,50-54 years,Probability of death,2023,0.03880178832142784,0.042699048800041474,0.035295247781463535
All Population,Life table,Malaysia,Female,50-54 years,Probability of death,2023,0.022590061753059193,0.02556646812582221,0.019859762939386565
All Population,Life table,Malaysia,Male,55-59 years,Probability of death,2023,0.057682874475704464,0.06273349630287559,0.0527426118695584
All Population,Life table,Malaysia,Female,55-59 years,Probability of death,2023,0.03354672285806291,0.03732101114690182,0.029795245693499874
All Population,Life table,Malaysia,Male,60-64 years,Probability of death,2023,0.08407865547540005,0.09088503648561969,0.07755591378678071
All Population,Life table,Malaysia,Female,60-64 years,Probability of death,2023,0.05285814066372598,0.058124327556120264,0.04790614053332183
All Population,Life table,Malaysia,Male,65-69 years,Probability of death,2023,0.11712910980463882,0.12601413000074355,0.10840184781373301
All Population,Life table,Malaysia,Female,65-69 years,Probability of death,2023,0.07793108387501956,0.08538009527224091,0.07086152237915715
All Population,Life table,Malaysia,Male,70-74 years,Probability of death,2023,0.16527387629857504,0.17766189704127028,0.15355411441272934
All Population,Life table,Malaysia,Female,70-74 years,Probability of death,2023,0.11621842817197554,0.12691409492873984,0.10686489206671232
All Population,Life table,Malaysia,Male,75-79 years,Probability of death,2023,0.21890552082373013,0.23500416734753446,0.2035813392943086
All Population,Life table,Malaysia,Female,75-79 years,Probability of death,2023,0.1834029513739253,0.1979216334333951,0.16881928613780048
All Population,Life table,Malaysia,Male,80-84 years,Probability of death,2023,0.35274871629858845,0.3773918618155279,0.32920693694413794
All Population,Life table,Malaysia,Female,80-84 years,Probability of death,2023,0.3387753586621089,0.3637049551071012,0.31548876836902723
All Population,Life table,Malaysia,Male,85-89 years,Probability of death,2023,0.4912016814473721,0.5783621010877089,0.3984919165352858
All Population,Life table,Malaysia,Female,85-89 years,Probability of death,2023,0.5292873911136408,0.6174237178888364,0.43415889662179163
All Population,Life table,Malaysia,Male,90-94 years,Probability of death,2023,0.6043571427647286,0.7077967681255429,0.4950086250081166
All Population,Life table,Malaysia,Female,90-94 years,Probability of death,2023,0.6809449763553262,0.7793359696787608,0.5802974071689874
All Population,Life table,Malaysia,Male,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,Malaysia,Female,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,Spain,Male,10-14 years,Probability of death,2023,0.00046750084759260204,0.0005115214105553572,0.0004262508924233327
